오름명,행정시,소재지,위도,경도,비고,표고,면적,형태,데이터기준일자,주차장,화장실
도청오름,서귀포시,제주특별자치도 서귀포시 표선면 표선리 2450,33.3124003,126.8156949,70,100.5,152322,말굽형(남동향),#######,,
독자봉,서귀포시,제주특별자치도 서귀포시 성산읍 신산리 1785,33.3877114,126.8541774,79,159.3,201388,말굽형(남동향),#######,Y,Y
돈두미오름,서귀포시,제주특별자치도 서귀포시 대정읍 영락리 1450,33.2514508,126.2069312,22,41.9,116242,원추형,#######,,
돌미,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4535,33.4378734,126.8285056,26,186.4,33377,원추형,#######,,
돌오름,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산1,33.3322298,126.424602,71,865.8,406036,원형,#######,,
돌오름,제주시,제주특별자치도 제주시 월평동 산6,33.4093422,126.5897562,54,1278.5,41620,원추형,#######,,
돔박이,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산89,33.3394248,126.364176,51,521.4,68146,말굽형(북동향),#######,,
돔배오름,제주시,제주특별자치도 제주시 조천읍 교래리 산62,33.4276176,126.6665803,36,466,117259,원형,#######,,
동수악,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,100,700,256640,원형(화구호),#######,,
동알오름,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 153,33.2071443,126.2888801,30,45,82517,말굽형(북동향),#######,,
돝오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산3,33.4803459,126.7995911,129,284.2,430425,원형,#######,,
두산봉,서귀포시,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,33.4786495,126.8840616,101,126.5,924938,복합형,#######,Y,Y
둔지봉,제주시,제주특별자치도 제주시 구좌읍 한동리 산40,33.5014578,126.7972464,152,282.2,360185,말굽형(남향),#######,,
뒤굽은이,제주시,제주특별자치도 제주시 구좌읍 송당리 산 39-1,33.4797426,126.7670605,52,251.6,74274,말굽형(북향),#######,,
들레오름,제주시,제주특별자치도 제주시 월평동 665-2,33.4594963,126.5797071,40,347.9,92971,말굽형(남서향),#######,,
들리오름,제주시,제주특별자치도 제주시 오등동 158,33.4616426,126.5407119,47,542.4,47825,말굽형(북향),#######,,
따라비,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산62,33.3988071,126.7063341,107,342,448111,복합형,#######,Y,Y
마보기,서귀포시,제주특별자치도 서귀포시 대정읍 상천리 산83,33.3193823,126.3912479,45,559.7,57554,원추형,#######,,
마오름,제주시,제주특별자치도 제주시 한경면 저지리 산55-2,33.338362,126.2441029,27,122,38946,말굽형(남향),#######,,
마은이,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 산203,33.3766116,126.6529799,47,552,115182,말굽형(북향),#######,,
마은이옆,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158,33.3988071,126.7063341,53,548.5,119062,말굽형(북동향),#######,,
마중오름,제주시,제주특별자치도 제주시 한경면 저지리 2143-18,33.3345756,126.2731034,44,168.6,120340,복합형,#######,,
만세동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,81,1606.2,239605,원추형,#######,,
말젯오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산14,33.4474908,126.3171162,13,102.5,0,원추형,#######,,
말찻,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,103,653.3,403935,말굽형(동향),#######,,
망동산,제주시,제주특별자치도 제주시 우도면 연평리 산19-1,33.4920413,126.9652088,30,87.5,47292,원추형,#######,,
망밭,서귀포시,제주특별자치도 서귀포시 서호동 73,33.2419753,126.5243303,43,52.6,61966,원추형,#######,,
매오름,서귀포시,제주특별자치도 서귀포시 표선면 표선리 2458-1,33.3172834,126.8184178,107,136.7,353972,말굽형(북서향),#######,,
머체오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,51,425.8,125020,원추형,#######,Y,Y
명월오름,제주시,제주특별자치도 제주시 한림읍 명월리 1105,33.3815716,126.2793027,39,148.5,60359,말굽형(남향),#######,,
모구리알오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.4080291,126.8271111,18,202.6,19641,말굽형(남향),#######,Y,Y
모구리오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.4080291,126.8271111,82,232,202089,말굽형(남동향),#######,Y,Y
모라이악,서귀포시,제주특별자치도 서귀포시 색달동 산16-1,33.2569808,126.3864531,66,510.7,206773,원형,#######,,
모슬봉,서귀포시,제주특별자치도 서귀포시 대정읍 상모리 3540-2,33.2387353,126.2586981,131,180.5,453030,원추형,#######,,
모지오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 산22,33.3963893,126.7728588,86,305.8,535643,말굽형(북동향),#######,,
묘산봉,제주시,제주특별자치도 제주시 구좌읍 서김녕리 369,33.5515228,126.7689858,81,116.3,157609,말굽형(남향),#######,,
무악,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산12,33.3162683,126.3665846,126,496.1,314656,말굽형(남향),#######,,
문도지오름,제주시,제주특별자치도 제주시 한림읍 금악리 3444,33.3267317,126.2945425,55,260.3,106436,말굽형(동향),#######,,
문석이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산234,33.446911,126.7956369,67,291.8,228379,복합형,#######,,
물메,제주시,제주특별자치도 제주시 애월읍 수산리 산1-1,33.4737592,126.3846826,92,121.5,1932024,원추형(분화구흔적),#######,,
물영아리,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 산189,33.3630542,126.692283,128,508,717013,원형(화구호),#######,Y,N
물오름,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산 10,33.3420367,126.5884214,114,838.6,346856,말굽형(남동향),#######,,
물장오리,제주시,제주특별자치도 제주시 봉개동 산78-2,33.4077725,126.6049852,120,937.2,628987,원형(화구호),#######,,
물찻,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,167,717.2,744401,복합형(화구호),#######,,
미악산,서귀포시,제주특별자치도 서귀포시 동홍동 산7,33.3005695,126.5553449,113,567.5,424611,말굽형(남향),#######,Y,Y
민대가리동산,제주시,제주특별자치도 제주시 애월읍 광령리 산138-1,33.3701721,126.4819697,76,1600.5,184192,원추형,#######,,
민머루오름,서귀포시,제주특별자치도 서귀포시 중문동 산1-3,33.3319444,126.4589805,82,882.7,387181,원추형,#######,,
민오름,서귀포시,제주특별자치도 서귀포시 남원읍 수망리 158,33.3300285,126.7162641,97,446.8,371170,말굽형(동향),#######,N,Y
민오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산156,33.4383118,126.7647013,102,362,412245,말굽형(북동향),#######,,
민오름,제주시,제주특별자치도 제주시 오라이동 산28,33.4752267,126.5072534,117,251.7,474001,말굽형(북동향),#######,,
민오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산141,33.4478489,126.6919035,118,518.3,400724,복합형,#######,,
민오름(무녜오름),제주시,제주특별자치도 제주시 봉개동 산64,33.4363994,126.6366437,136,651,518910,복합형,#######,,
바농오름,제주시,제주특별자치도 제주시 조천읍 교래리 산108,33.4276176,126.6665803,142,552.1,473953,복합형,#######,,
바리메,제주시,제주특별자치도 제주시 애월읍 어름리 산1,33.3929667,126.3753776,213,763.4,1288365,원형,#######,,
밝은오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 1138,33.297082,126.3397151,40,290,54945,말굽형(북향),#######,,
